Infraccio_Codi Infraccio_Desc_Curta_CA Infraccio_Desc_Curta_ES Infraccio_Desc_Llarga_CA Infraccio_Desc_Llarga_ES Normativa Import_Nominal_€ Tipus_Infraccio Punts_A_Retirar 
1062 ESTAC_MES_8_DIES_CONSECUT_UN_MATEIX_LLOC ESTAC_MAS_8_DIAS_CONSECUTIV_MISMO_LUGAR Estacionar_mes_de_8_dies_consecutius_en_un_mateix_lloc. - OCVV 60 E 0 
1063 ESTACION_FORA_PERIM_ASSENYALAT_PAVIMENT ESTACION_FUERA_PERIMETRO_SENALADO_PAVIM Estacionar_fora_del_perimetre_senyalat_al_paviment. - OCVV 60 E 0 
1064 ESTACION_CARRER_URBANITZAT_SENSE_VORERES ESTACION_EN_CALLE_URBANIZADA_SIN_ACERAS Estacionar_en_carrers_urbanitzats_sense_voreres. - OCVV 60 E 0 
1066 CIRCULAR_PER_VORERA_AMB_MOTOCICLETA CIRCULAR_POR_ACERA_CON_MOTOCICLETA Circular_per_la_vorera_amb_una_motocicleta. - RGC 200 M 0 
1069 CIRCULAR_PER_VORERA_AMB_CICLOMOTOR CIRCULAR_POR_ACERA_CON_CICLOMOTOR Circular_per_la_vorera_amb_un_ciclomotor. - RGC 200 M 0 
1070 ESTACION_TRIMESTRE_DIFICULTAN_CIRCULACIO ESTACION_TRIMESTRE_DIFICULTANDO_CIRCULAC Estacionar_al_costat_correcte_pero_dificultant_la_circulacio_a_causa_de_l'existencia_de_vehicles_que_encara_no_han_fet_el_canvi. - OCVV 60 E 0 
1071 MANCA_DE_COMPROVANT_HORARI FALTA_DE_COMPROBANTE_HORARIO Falta_de_comprovant_horari. - OCVV 50 E 0 
1072 SUPERAR_LIMIT_HORARI SUPERAR_LIMITE_DE_HORARIO Sobrepassar_el_limit_horari - OCVV 40 E 0 
1073 CIRCULAR_ANDANA/PASSEIG_AMB_CICLOMOTOR CIRCULAR_POR_ANDEN/PASEO_CON_CICLOMOTOR Circular_per_l'andana_o_per_un_passeig_amb_un_ciclomotor. - RGC 200 M 0 
1077 TRANSP_MATER_PERILL_FORA_HORES_PERMESES TRANSP_MATER_PELIGR_FUERA_HORAS_PERMITID Circular_fora_de_l'horari_autoritzat_un_vehicle_que_transporta_mercaderies_especialment_perilloses - OCVV 200 M 0 
1079 EFECTUAR_PARADA_EN_CARRIL-BICI EFECTUAR_PARADA_EN_CARRIL-BICI Parar_al_carril_BICI. - OCVV 60 E 0 
